first_name,last_name,country_code,state_code,city,cb_url,logo_url,profile_image_url,twitter_url,facebook_url,primary_affiliation_organization,primary_affiliation_title,primary_organization_uuid,gender,uuid,created_at,updated_at
Amol,Sarva,USA,NY,New York,https://www.crunchbase.com/person/amol-sarva,https://www.crunchbase.com/person/amol-sarva/primary-image/raw,http://public.crunchbase.com/t_api_images/v1402052865/h2dg3q9tw0qvg5a5gaz6.jpg,https://www.twitter.com/amol,http://www.facebook.com/amolsarva,Knotable,Co-Founder & CEO,63948a4d-fae9-c690-802f-2435eec683c1,Male,58df9ab6-4ef6-1673-45ef-830dab6bd601,2008-11-30 02:36:08,2016-08-31 12:57:13.506161
Amol,Sarva,USA,NY,New York,https://www.crunchbase.com/person/amol-sarva,https://www.crunchbase.com/person/amol-sarva/primary-image/raw,http://public.crunchbase.com/t_api_images/v1402052865/h2dg3q9tw0qvg5a5gaz6.jpg,https://www.twitter.com/amol,http://www.facebook.com/amolsarva,Knotable,Co-Founder & CEO,63948a4d-fae9-c690-802f-2435eec683c1,Male,58df9ab6-4ef6-1673-45ef-830dab6bd601,2008-11-30 02:36:08,2016-08-31 12:57:13.506161
Andy,Russell,USA,NY,New York,https://www.crunchbase.com/person/andy-russell,https://www.crunchbase.com/person/andy-russell/primary-image/raw,http://public.crunchbase.com/t_api_images/v1421349064/xbk2ew8z74sa3pygymip.jpg,,,"Trigger Media Group, LLC",Founder & CEO,adea047a-33f7-1d31-5276-1da087043274,Male,3b656132-b996-323e-29a9-ef0a2be0e49e,2008-01-18 16:27:10,2016-08-30 13:18:12.358667
Andy,Russell,USA,NY,New York,https://www.crunchbase.com/person/andy-russell,https://www.crunchbase.com/person/andy-russell/primary-image/raw,http://public.crunchbase.com/t_api_images/v1421349064/xbk2ew8z74sa3pygymip.jpg,,,"Trigger Media Group, LLC",Founder & CEO,adea047a-33f7-1d31-5276-1da087043274,Male,3b656132-b996-323e-29a9-ef0a2be0e49e,2008-01-18 16:27:10,2016-08-30 13:18:12.358667
Andy,Russell,USA,NY,New York,https://www.crunchbase.com/person/andy-russell,https://www.crunchbase.com/person/andy-russell/primary-image/raw,http://public.crunchbase.com/t_api_images/v1421349064/xbk2ew8z74sa3pygymip.jpg,,,"Trigger Media Group, LLC",Founder & CEO,adea047a-33f7-1d31-5276-1da087043274,Male,3b656132-b996-323e-29a9-ef0a2be0e49e,2008-01-18 16:27:10,2016-08-30 13:18:12.358667
Andy,Russell,USA,NY,New York,https://www.crunchbase.com/person/andy-russell,https://www.crunchbase.com/person/andy-russell/primary-image/raw,http://public.crunchbase.com/t_api_images/v1421349064/xbk2ew8z74sa3pygymip.jpg,,,"Trigger Media Group, LLC",Founder & CEO,adea047a-33f7-1d31-5276-1da087043274,Male,3b656132-b996-323e-29a9-ef0a2be0e49e,2008-01-18 16:27:10,2016-08-30 13:18:12.358667
Scott,McGregor,USA,CA,Campbell,https://www.crunchbase.com/person/scott-mcgregor,https://www.crunchbase.com/person/scott-mcgregor/primary-image/raw,http://public.crunchbase.com/t_api_images/v1399535438/t83diksmjzfnrcw6ikb5.jpg,https://www.twitter.com/scottmcgregor,https://www.facebook.com/mcgregor94086,,Member of the Board of Director,,Male,0647bc6e-9da0-9a25-d46b-860fe4a74268,2010-08-09 14:04:37,2016-01-22 10:22:45.43292
Scott,McGregor,USA,CA,Campbell,https://www.crunchbase.com/person/scott-mcgregor,https://www.crunchbase.com/person/scott-mcgregor/primary-image/raw,http://public.crunchbase.com/t_api_images/v1399535438/t83diksmjzfnrcw6ikb5.jpg,https://www.twitter.com/scottmcgregor,https://www.facebook.com/mcgregor94086,,Member of the Board of Director,,Male,0647bc6e-9da0-9a25-d46b-860fe4a74268,2010-08-09 14:04:37,2016-01-22 10:22:45.43292
Scott,McGregor,USA,CA,Campbell,https://www.crunchbase.com/person/scott-mcgregor,https://www.crunchbase.com/person/scott-mcgregor/primary-image/raw,http://public.crunchbase.com/t_api_images/v1399535438/t83diksmjzfnrcw6ikb5.jpg,https://www.twitter.com/scottmcgregor,https://www.facebook.com/mcgregor94086,,Member of the Board of Director,,Male,0647bc6e-9da0-9a25-d46b-860fe4a74268,2010-08-09 14:04:37,2016-01-22 10:22:45.43292
John,Wehr,,,,https://www.crunchbase.com/person/john-wehr,https://www.crunchbase.com/person/john-wehr/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397180295/e8b347bfd27aa78bf64764223b03f07d.jpg,https://www.twitter.com/wehriam,http://www.facebook.com/johnwehr,TRED,"Co-Founder, CTO",3f6e157d-fd29-50fa-6c00-7e0a8d98465e,Male,3ddbad07-f1e3-910b-30aa-a15fec4f56f2,2010-01-05 13:11:45,2016-10-03 08:08:13.581961
John,Wehr,,,,https://www.crunchbase.com/person/john-wehr,https://www.crunchbase.com/person/john-wehr/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397180295/e8b347bfd27aa78bf64764223b03f07d.jpg,https://www.twitter.com/wehriam,http://www.facebook.com/johnwehr,TRED,"Co-Founder, CTO",3f6e157d-fd29-50fa-6c00-7e0a8d98465e,Male,3ddbad07-f1e3-910b-30aa-a15fec4f56f2,2010-01-05 13:11:45,2016-10-03 08:08:13.581961
John,Wehr,,,,https://www.crunchbase.com/person/john-wehr,https://www.crunchbase.com/person/john-wehr/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397180295/e8b347bfd27aa78bf64764223b03f07d.jpg,https://www.twitter.com/wehriam,http://www.facebook.com/johnwehr,TRED,"Co-Founder, CTO",3f6e157d-fd29-50fa-6c00-7e0a8d98465e,Male,3ddbad07-f1e3-910b-30aa-a15fec4f56f2,2010-01-05 13:11:45,2016-10-03 08:08:13.581961
John,Wehr,,,,https://www.crunchbase.com/person/john-wehr,https://www.crunchbase.com/person/john-wehr/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397180295/e8b347bfd27aa78bf64764223b03f07d.jpg,https://www.twitter.com/wehriam,http://www.facebook.com/johnwehr,TRED,"Co-Founder, CTO",3f6e157d-fd29-50fa-6c00-7e0a8d98465e,Male,3ddbad07-f1e3-910b-30aa-a15fec4f56f2,2010-01-05 13:11:45,2016-10-03 08:08:13.581961
John,Wehr,,,,https://www.crunchbase.com/person/john-wehr,https://www.crunchbase.com/person/john-wehr/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397180295/e8b347bfd27aa78bf64764223b03f07d.jpg,https://www.twitter.com/wehriam,http://www.facebook.com/johnwehr,TRED,"Co-Founder, CTO",3f6e157d-fd29-50fa-6c00-7e0a8d98465e,Male,3ddbad07-f1e3-910b-30aa-a15fec4f56f2,2010-01-05 13:11:45,2016-10-03 08:08:13.581961
Joseph,Morin,USA,CA,Irvine,https://www.crunchbase.com/person/joseph-morin,https://www.crunchbase.com/person/joseph-morin/primary-image/raw,http://public.crunchbase.com/t_api_images/v1461834483/l8jflz6bcsl1dnjgepx6.png,https://www.twitter.com/josephmorin,http://www.facebook.com,Social Rewards,CEO / Co-Founder,2ab6fce2-9f4c-2d13-3c08-0341ea1efdb7,Male,39020cd0-0d2f-7789-7937-000b740b98cb,2010-02-23 10:14:39,2016-05-30 05:06:20.27867
Basil,Horangic,USA,MA,Boston,https://www.crunchbase.com/person/basil-horangic,https://www.crunchbase.com/person/basil-horangic/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397180716/d436e96b7b98076aa56790f652be4576.jpg,https://www.twitter.com/bhorangic,,,Member of the Board of Directors,,Male,4d860965-b989-7a89-0732-28858bb32118,2012-12-20 07:59:48,2016-08-19 18:52:40.549102
Basil,Horangic,USA,MA,Boston,https://www.crunchbase.com/person/basil-horangic,https://www.crunchbase.com/person/basil-horangic/primary-image/raw,http://public.crunchbase.com/t_api_images/v1397180716/d436e96b7b98076aa56790f652be4576.jpg,https://www.twitter.com/bhorangic,,,Member of the Board of Directors,,Male,4d860965-b989-7a89-0732-28858bb32118,2012-12-20 07:59:48,2016-08-19 18:52:40.549102
