entity_uuid,competitor_uuid,created_at,updated_at
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,0fe984ec-276d-d3b0-a0e2-55502aa55dcc,2016-10-21 09:59:34.524446,2016-10-21 09:59:34.523965
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,e21cd6cd-f563-1f31-d7e4-87263e0b5355,2016-10-21 09:53:53.996639,2016-10-21 09:53:53.99631
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,68dae8fb-fe1c-c2a1-0572-e23db1136dbc,2016-10-21 09:53:10.160471,2016-10-21 09:53:10.160024
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,534840e4-d286-f55a-a46e-6769a6304aaf,2016-10-21 09:47:59.352322,2016-10-21 09:47:59.351954
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,d7b4d44a-a3a2-c0c5-ae22-87e31ca6e4a5,2016-10-21 09:44:04.586616,2016-10-21 09:44:04.586323
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,c65706f4-151e-e3b9-df6f-7b581e8bcd71,2016-10-21 09:43:34.361597,2016-10-21 09:43:34.361264
6b0105ab-a0b8-864c-571d-7016f5de678f,a0f5537c-5fc9-3a79-b787-9d9f9ff5bade,2016-10-21 09:43:15.185158,2016-10-21 09:43:15.184625
