event_uuid,relationship_to_event,entity_uuid,type,relationship_detail,created_at,updated_at
27279be8-cf6f-4cac-1939-fb3d5ee729b8,speaker,f180c7fc-f00e-da85-1acd-95742e308f5d,Person,,2016-09-28 00:21:13.065581,2016-09-28 00:21:13.064919
27279be8-cf6f-4cac-1939-fb3d5ee729b8,speaker,3e4c3d00-20af-ab76-b472-2b2bb3a7627d,Person,,2016-09-28 00:20:38.123495,2016-09-28 00:20:38.122777
27279be8-cf6f-4cac-1939-fb3d5ee729b8,speaker,5df55adf-7406-624c-3a84-0cf4b6531ced,Person,,2016-09-28 00:18:36.140453,2016-09-28 00:18:36.140068
27279be8-cf6f-4cac-1939-fb3d5ee729b8,ntinmarket,2795f8fd-4718-3f8f-7513-5391ab707c90,Market,,2016-09-28 00:17:01.960492,2016-09-28 00:17:01.960202
27279be8-cf6f-4cac-1939-fb3d5ee729b8,organizer,922517b6-6ec3-f743-a4fe-60ba4daac7ec,Organization,,2016-09-28 00:16:40.470713,2016-09-28 00:16:40.470247
27279be8-cf6f-4cac-1939-fb3d5ee729b8,venue,7045c21d-6c31-e178-7a09-2f6ce2db2c61,Address,,2016-09-28 00:02:40.672878,2016-09-28 00:02:40.672622
27279be8-cf6f-4cac-1939-fb3d5ee729b8,venue,32a52dfa-75f4-2f1f-f5ce-1df6e8248085,Address,,2016-09-28 00:02:39.737476,2016-09-28 00:02:39.737085
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,c3d5f46f-0a9d-cfdc-a44a-4cc6a13fe804,Market,,2016-09-27 14:58:54.188538,2016-09-27 14:58:54.18818
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,95642ff0-23e9-79a3-612b-50de99f06305,Market,,2016-09-27 14:58:27.304596,2016-09-27 14:58:27.304169
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,e303e839-52d3-f2f0-b87d-757ee8b86b48,Market,,2016-09-27 14:57:53.931962,2016-09-27 14:57:53.931557
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,c7ab2c73-e46f-0f40-afe0-eb6182949b41,Market,,2016-09-27 14:57:43.554104,2016-09-27 14:57:43.553703
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,421943ef-50ae-c811-470e-c66a0323cf0d,Market,,2016-09-27 14:57:30.135375,2016-09-27 14:57:30.135069
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,d38b3f26-abc4-6f7b-b29d-b952021a1b14,Market,,2016-09-27 14:57:07.489305,2016-09-27 14:57:07.488905
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,ae5718dc-8602-c733-e62b-28e6167091ad,Market,,2016-09-27 14:56:53.823771,2016-09-27 14:56:53.823534
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,89b9e37a-0dcb-a76e-0816-b69d9b54279c,Market,,2016-09-27 14:54:53.868538,2016-09-27 14:54:53.868218
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,ed3a589d-c9a7-3cbb-9feb-245f011e1d54,Market,,2016-09-27 14:53:13.690213,2016-09-27 14:53:13.689932
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,ntinmarket,bf395a9a-618c-0264-3a2b-b18d8dc56fff,Market,,2016-09-27 14:53:04.478156,2016-09-27 14:53:04.477666
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,organizer,d6169a52-bcb2-d599-ec61-268b9817eae2,Organization,,2016-09-27 14:52:49.786085,2016-09-27 14:52:49.785798
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,venue,f99c5787-ceeb-c6e5-8981-0902faaa5f42,Address,,2016-09-27 14:50:38.590605,2016-09-27 14:50:38.590292
ecbc0d01-ff92-e102-09d4-a19cd20d3f8f,venue,6528c9ed-511b-a3da-09fb-caa38f19948a,Address,,2016-09-27 14:50:38.029789,2016-09-27 14:50:38.02956
6362edcb-9041-0050-36cd-85b7f1af37b4,speaker,9ad5d1a6-8053-53e4-f8bd-728795eb9fd9,Person,,2016-09-23 01:18:02.563268,2016-09-23 01:18:02.562903
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,461e1ead-0308-277e-f62c-57137d5284a3,Person,,2016-09-20 17:01:46.742063,2016-09-20 17:01:46.741616
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,25f35110-634d-8c9d-7b69-66147110fed7,Person,,2016-09-20 17:00:43.354378,2016-09-20 17:00:43.353821
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,d699f5f6-4ba4-192f-8a04-b46143c36e68,Person,,2016-09-20 16:59:44.446636,2016-09-20 16:59:44.446278
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,e6386fa8-6254-879c-2a1b-551d97880cc0,Person,,2016-09-20 16:59:26.82466,2016-09-20 16:59:26.824312
aa8d52eb-ab6c-520a-cfc5-23f2ef91c36e,speaker,f46d0778-8107-59ce-c5d7-1839eb513116,Person,,2016-09-20 16:58:40.456209,2016-09-20 16:58:40.455558
