entity_uuid,fund_uuid,fund_name,started_on,announced_on,raised_amount,raised_amount_currency_code,created_at,updated_at
3c62db15-4db8-016a-145e-dd1a06d168e2,6c526edd-1a9f-6c46-b2d5-789c6bf91695,European Fund,,2014-07-09,100000000,USD,2014-07-10 20:03:53,2014-09-10 23:17:18
4e0cf914-3a8e-c3c2-4ef8-ee6f5e8fdb47,c0c25f3f-35f8-d898-c22a-90cc083bf923,Charles River Partnership XVI,,2014-07-07,393000000,USD,2014-07-03 03:18:04,2014-09-12 15:56:16
043d9e52-dcc0-0dd8-6074-206e42e20e13,7bcfb37f-ab3c-2f9a-9bca-6fb44b5ce09a,First Round Capital V LP,,2014-06-26,175000000,USD,2014-06-26 17:46:19,2015-09-29 06:07:13
fe5a4983-a46a-2fc2-5633-e35e0a86b694,d3cdf47c-849a-dc59-77a0-b57a19d031fc,"Khosla Ventures V, L.P.",,2014-06-25,,USD,2014-06-25 05:03:10,2015-09-29 06:24:25
60b5dade-24ed-84b0-99e2-1ecda554a1ab,5807c4ef-a810-6559-39cf-da6f6d48f5a6,Index Ventures VII,,2014-06-10,550000000,USD,2014-06-11 20:29:33,2015-10-12 05:08:04.02684
343a0c91-d3b9-80fa-2330-cfde495decf1,04ce7a0d-0599-547e-736c-8d76f2855be3,IDG China Venture Capital Fund IV,,2014-06-03,586000000,USD,2014-06-04 02:55:14,2014-09-10 22:56:56
b51ff078-c9d9-9f51-681d-4f9ac888e070,124695b2-d423-91f6-eeb7-a4a4e4223141,Europe Tech Growth fund,,2014-05-21,250000000,EUR,2014-05-21 14:28:06,2014-09-10 23:16:52
b51ff078-c9d9-9f51-681d-4f9ac888e070,2b6e25e1-84da-ceac-a877-d5f959d07779,Tech Growth Fund,,2014-05-21,250000000,EUR,2014-05-21 17:45:16,2014-09-10 23:16:49
4ab1b039-d9ce-f96a-06e7-f737e37eee08,e50b7c60-3c21-8d55-db3b-8983ee4bb15c,Norwest Venture Partners XII,,2014-05-13,1200000000,USD,2016-02-02 07:38:40.532619,2016-02-02 07:39:44.09064
f5315b3c-bb4c-1828-9b81-2f2103cdb761,39eb8b2d-7d68-5363-7320-12cf381df2d0,Fund VI,,2014-04-28,280000000,USD,2014-04-29 05:35:27,2014-11-20 00:37:09
d5df3873-7871-c608-0284-c74d0b555ccd,98f16288-fbfc-aac3-0de8-496b119082c9,"Lightspeed Venture Partners Select, LP",,2014-03-24,,USD,2015-09-29 06:40:21,2015-09-29 06:40:45
d5df3873-7871-c608-0284-c74d0b555ccd,ae62e677-4b1b-f924-a326-b6a3b57072aa,"Lightspeed Venture Partners X, L.P.",2014-03-09,2014-03-01,650000000,USD,2014-03-20 04:56:25,2016-07-11 17:44:31.516198
